Key,Branch #,City,State,Training to be held at branch? (Y/N),Enter Training Address (if not at branch),Training Address,Branch Phone #,Date,Start Time,End Time,Type of Class,Trainer, Advertised Cost per Attendee ,# Attendees,Course Description,Additional Comments
"CSE   October 3, 2012 8:00am Baltimore MD",k67,Baltimore,MD,y,,"3925 Washington Boulevard  Baltimore, MD  21127",(410) 242-4504,"Wednesday, October 3, 2012",8:00am,2:30pm,CSE,Mark Lord, $135.00 ,0,"CSE-Confined Space Entry Awareness: The course covers the 29 CFR 1910.146 standard as it relates to identifying permit required confined spaces, use of gas monitoring equipment, proper ventilation of a confined space, duties of supers, entrants and attendants, alternate entry procedures and permit requirements for confined space.",
"CPT   October 4, 2012 8:00am Bladensburg MD",g29,Bladensburg,MD,y,,"4900 Upshur Street  Bladensburg, MD  20710",(301) 779-3160,"Thursday, October 4, 2012",8:00am,2:30pm,CPT,Mark Lord, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CPT   October 4, 2012 8:00am Jacksonville FL",g05,Jacksonville,FL,y,,"5856 Mining Terrace  Jacksonville, FL  32257",(904) 786-3100,"Thursday, October 4, 2012",8:00am,2:30pm,CPT,Jason Muzo, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CPT   October 4, 2012 8:00am Jacksonville FL",g05,Jacksonville,FL,y,,"5856 Mining Terrace  Jacksonville, FL  32257",(904) 786-3100,"Thursday, October 4, 2012",8:00am,2:30pm,CPT,Jason Muzo, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CPT   October 5, 2012 8:00am Ashland VA",k75,Ashland,VA,y,,"11485 Foxcross Road  Ashland, VA  23005",(804) 752-2201,"Friday, October 5, 2012",8:00am,2:30pm,CPT,Doug Barnes, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CSE   October 5, 2012 8:00am Bladensburg MD",g29,Bladensburg,MD,y,,"4900 Upshur Street  Bladensburg, MD  20710",(301) 779-3160,"Friday, October 5, 2012",8:00am,2:30pm,CSE,Mark Lord, $135.00 ,0,"CSE-Confined Space Entry Awareness: The course covers the 29 CFR 1910.146 standard as it relates to identifying permit required confined spaces, use of gas monitoring equipment, proper ventilation of a confined space, duties of supers, entrants and attendants, alternate entry procedures and permit requirements for confined space.",
"CSE   October 9, 2012 8:00am Greensboro NC",k70,Greensboro,NC,y,,"3137 Cedar Park Road  Greensboro, NC  27405",(336) 398-3000,"Tuesday, October 9, 2012",8:00am,2:30pm,CSE,Doug Barnes, $135.00 ,0,"CSE-Confined Space Entry Awareness: The course covers the 29 CFR 1910.146 standard as it relates to identifying permit required confined spaces, use of gas monitoring equipment, proper ventilation of a confined space, duties of supers, entrants and attendants, alternate entry procedures and permit requirements for confined space.",
"CPT   October 10, 2012 8:00am Longs SC",k72,Longs,SC,n,"TBD, To be determined","TBD, To be determined",(843) 756-0386,"Wednesday, October 10, 2012",8:00am,2:30pm,CPT,Doug Barnes, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CPT   October 11, 2012 8:00am North Charleston SC",k68,North Charleston,SC,y,,"7615 Southrail Road  North Charleston, SC  29418",(843) 735-5130,"Thursday, October 11, 2012",8:00am,2:30pm,CPT,Doug Barnes, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
"CPT   October 11, 2012 8:00am Orlando FL",g04,Orlando,FL,y,,"9331 Bachman Road  Orlando, FL  32824",(407) 888-9394,"Thursday, October 11, 2012",8:00am,2:30pm,CPT,Jason Muzo, $135.00 ,0,"CPT-Competent Person for Trench & Excavation: The course covers the OSHA Standard 1926 Subpart P as it relates to soil classification, sloping and benching, timber shoring, aluminum hydraulic shoring, requirements for protective systems, manufactured tabulated data, site specific engineering, general requirements and competent person responsibilities.",
